%time,field.x,field.y,field.z,real->,field.x,field.y
1376085759780950000,337,8,0,,-159.483840942,16
1376085759788510000,337,6,0,,-159.51399231,16
1376085759798800000,337,6,0,,-159.485488892,16
1376085759811820000,337,6,0,,-159.560745239,16
1376085759822300000,16,4,0,,-159.628173828,16
1376085759831520000,16,4,0,,-159.626907349,16
1376085759841830000,16,4,0,,-159.532058716,16
1376085759862540000,335,6,0,,-159.395767212,16
1376085759888190000,339,6,0,,-159.26625061,16
1376085759916160000,339,6,0,,-159.285888672,16
1376085759949430000,2,4,0,,-159.043395996,16
1376085759967120000,338,6,0,,-158.868545532,16
1376085759977080000,19,4,0,,-158.780639648,16
1376085759988230000,19,4,0,,-158.876586914,16
1376085760001340000,337,5,0,,-159.003952026,17
1376085760012220000,337,5,0,,-159.07635498,17
1376085760027920000,339,5,0,,-159.360519409,17
1376085760042690000,339,5,0,,-159.36315918,17
1376085760058400000,339,5,0,,-159.395584106,17
1376085760073670000,14,3,0,,-159.429336548,17
1376085760089320000,335,5,0,,-159.515945435,17
1376085760102930000,335,5,0,,-159.523147583,17
1376085760114640000,339,5,0,,-159.554870605,17
1376085760122200000,339,5,0,,-159.590438843,17
1376085760135010000,339,5,0,,-159.632492065,17
1376085760143690000,339,5,0,,-159.619155884,17
1376085760152280000,339,5,0,,-159.646530151,17
1376085760160720000,339,5,0,,-159.572189331,17
1376085760178200000,10,3,0,,-159.338912964,17
1376085760202990000,1,3,0,,-158.839263916,17
1376085760241330000,339,5,0,,-159.033111572,17
1376085760252160000,335,5,0,,-159.283706665,17
1376085760274850000,339,5,0,,-159.628799438,17
1376085760286160000,339,5,0,,-159.601898193,17
1376085760306870000,339,5,0,,-159.479537964,17
1376085760324800000,339,5,0,,-159.183013916,17
1376085760344280000,19,5,0,,-158.984298706,17
1376085760356600000,338,5,0,,-158.911727905,17
1376085760370300000,338,5,0,,-158.872772217,17
1376085760381180000,338,5,0,,-158.824432373,17
1376085760391180000,338,5,0,,-158.923904419,17
1376085760402290000,338,5,0,,-158.989700317,17
1376085760414960000,6,3,0,,-159.085800171,17
1376085760426870000,6,3,0,,-159.148651123,17
1376085760438390000,6,3,0,,-159.138442993,17
1376085760445330000,16,5,0,,-159.074890137,17
1376085760456230000,17,5,0,,-158.939056396,17
1376085760465420000,17,5,0,,-158.83291626,17
1376085760473080000,336,5,0,,-158.80267334,17
1376085760481330000,336,5,0,,-158.823165894,17
1376085760494710000,336,5,0,,-158.86706543,17
1376085760502580000,17,5,0,,-158.855056763,17
1376085760512700000,16,5,0,,-159.086380005,17
1376085760524630000,335,7,0,,-159.29914856,17
1376085760535250000,335,7,0,,-159.545898438,17
1376085760543790000,335,7,0,,-159.680297852,17
1376085760558460000,16,5,0,,-159.905929565,17
1376085760571480000,336,7,0,,-160.137451172,17
1376085760579910000,336,7,0,,-160.157989502,17
1376085760594270000,336,7,0,,-160.291366577,17
1376085760607740000,336,5,0,,-160.311813354,17
1376085760620180000,336,5,0,,-160.151168823,17
1376085760631430000,339,5,0,,-159.890136719,17
1376085760642030000,339,5,0,,-159.709381104,17
1376085760653210000,339,5,0,,-159.343612671,17
1376085760664280000,336,5,0,,-158.991531372,17
1376085760671190000,336,5,0,,-158.821716309,17
1376085760678730000,336,5,0,,-158.652511597,17
1376085760689240000,338,4,0,,-158.20526123,16
1376085760697390000,337,4,0,,-157.796569824,16
1376085760708140000,337,4,0,,-157.389633179,16
1376085760723300000,334,6,0,,-156.825515747,16
1376085760730010000,334,6,0,,-156.435623169,16
1376085760741190000,335,6,0,,-155.87336731,16
1376085760750540000,335,6,0,,-155.350738525,16
1376085760760790000,334,6,0,,-154.732284546,16
1376085760772770000,23,6,0,,-154.059707642,16
1376085760786470000,24,6,0,,-153.443405151,16
1376085760799450000,332,6,0,,-152.649536133,16
1376085760810410000,332,6,0,,-152.304595947,16
1376085760825330000,22,6,0,,-151.474700928,16
1376085760838690000,23,5,0,,-150.961074829,17
1376085760849280000,17,3,0,,-150.24180603,17
1376085760857190000,18,3,0,,-149.827362061,17
1376085760867440000,24,5,0,,-149.332366943,17
1376085760880320000,25,5,0,,-148.818252563,17
1376085760894770000,25,5,0,,-148.528167725,17
1376085760907050000,17,3,0,,-148.298202515,17
1376085760918470000,17,3,0,,-148.15737915,17
1376085760929720000,25,4,0,,-148.061447144,18
1376085760939920000,25,4,0,,-148.033615112,18
1376085760953160000,21,4,0,,-148.010803223,18
1376085760963170000,22,4,0,,-148.023498535,18
1376085760977950000,22,4,0,,-147.878311157,18
1376085760994520000,22,3,0,,-147.817672729,19
1376085761003590000,22,3,0,,-147.823272705,19
1376085761019140000,22,3,0,,-147.800628662,19
1376085761037440000,22,3,0,,-147.795043945,19
1376085761063930000,22,5,0,,-147.612014771,19
1376085761075620000,26,7,0,,-147.411849976,19
1376085761089820000,27,6,0,,-146.717407227,20
1376085761104450000,19,4,0,,-146.166625977,20
1376085761119420000,24,5,0,,-145.263534546,21
1376085761134620000,25,5,0,,-144.672271729,21
